Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Oberlin,North Coast AC,0-10,0.000,,230,0.21,229,-56.60,224,0.53,228,-29.91,2.31,197,-35.26
Whittier,Southern Cal IAC,0-9,0.000,,231,0.18,232,-59.46,229,-1.59,229,-30.66,2.24,174,-29.03
Dean,East Coast,1-9,0.100,,232,0.16,230,-56.64,219,2.19,231,-31.62,2.23,233,-49.40
Grinnell,Midwest,2-6,0.250,,233,-0.02,235,-67.41,236,-7.41,232,-32.78,2.25,231,-48.25
Crown MN,Upper Midwest,3-7,0.300,,234,-0.02,236,-68.18,233,-4.72,237,-36.25,2.18,239,-52.63
Westminster MO,Upper Midwest,1-9,0.100,,235,-0.24,234,-67.20,239,-10.41,227,-29.58,2.27,238,-50.11
Beloit,Midwest,1-9,0.100,,236,-0.28,233,-67.11,234,-5.45,234,-34.44,2.29,235,-49.63
Fitchburg St,MASCAC,1-9,0.100,,237,-0.42,238,-73.81,237,-9.32,238,-37.28,2.26,229,-45.67
Hilbert,NCAA III Ind,0-7,0.000,,238,-0.67,237,-71.67,232,-4.07,240,-40.38,2.21,219,-42.50
Finlandia,Upper Midwest,0-10,0.000,,239,-0.84,239,-75.54,240,-12.89,236,-35.43,2.29,237,-50.11
Lawrence,Midwest,0-10,0.000,,240,-0.90,240,-75.58,238,-9.54,239,-38.82,2.30,236,-49.70
