Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Defiance,Heartland CAC,1-9,0.100,+6,228,0.66,230,-55.92,234,-3.32,217,-25.13,2.28,206,-36.75
Westminster MO,Upper Midwest,3-5,0.375,+2,229,0.66,229,-55.85,223,0.66,228,-29.03,2.20,240,-51.81
Worcester St,MASCAC,3-7,0.300,,230,0.58,235,-59.37,209,3.68,239,-35.58,2.20,228,-45.23
Dean,East Coast,2-8,0.200,+4,231,0.56,226,-53.62,206,3.86,231,-30.00,2.15,233,-47.74
St Scholastica,Minnesota IAC,0-8,0.000,-6,232,0.50,227,-54.26,224,0.36,225,-27.15,2.22,192,-33.09
Westfield St,MASCAC,1-9,0.100,+3,233,0.41,233,-57.75,237,-4.63,219,-25.65,2.17,219,-43.53
Whittier,Southern Cal IAC,0-9,0.000,-9,234,0.38,232,-57.43,213,3.19,236,-33.15,2.20,173,-28.98
Lawrence,Midwest,2-7,0.222,-2,235,0.32,234,-58.26,216,1.77,234,-32.55,2.15,237,-50.84
Thiel,Presidents' AC,0-10,0.000,-4,236,0.16,236,-61.47,233,-3.04,232,-30.96,2.21,188,-32.54
Keystone,East Coast,0-10,0.000,+1,237,-0.13,237,-63.56,232,-2.48,238,-33.60,2.16,220,-43.84
Grinnell,Midwest,2-8,0.200,-1,238,-0.21,240,-72.17,238,-4.64,242,-40.05,2.16,239,-51.69
Crown MN,Upper Midwest,1-9,0.100,,239,-0.31,238,-68.85,229,-1.44,241,-39.93,2.17,242,-54.87
Fitchburg St,MASCAC,0-10,0.000,+1,240,-0.41,239,-71.20,240,-10.69,235,-33.03,2.19,226,-44.59
Finlandia,Upper Midwest,0-9,0.000,-1,241,-0.59,241,-73.04,242,-12.36,237,-33.21,2.21,238,-51.53
Beloit,Midwest,0-10,0.000,,242,-0.80,242,-76.95,241,-11.83,240,-37.66,2.22,235,-49.27
