parameter,rhat_pct,max_rhat,min_rhat,mean_ess,model_name,league
sigma_t,1,0.999903727349542,0.999903727349542,6042.295428125047,model_1,MN
theta,1,1.001627867761791,0.9993569288135852,6621.409496360212,model_1,MN
alpha_intercept,1,1.0000986364010744,1.0000986364010744,3826.989774874403,model_2,MN
alpha_trend,1,1.0002020564198506,1.0002020564198506,3686.340188180752,model_2,MN
sigma_ai,1,0.9997283624926004,0.9997283624926004,6179.282477247032,model_2,MN
sigma_at,1,0.9997608469800768,0.9997608469800768,5613.521569545288,model_2,MN
sigma_m,1,0.9997166079474292,0.9997166079474292,4799.211989890708,model_2,MN
sigma_t,1,1.0003676755702495,1.0003676755702495,3855.809347579461,model_2,MN
theta,1,1.008149575697898,0.9993767004816784,3263.078921950516,model_2,MN
alpha,1,1.000603917044249,0.9994567917204304,6934.771413882591,model_3,MN
sigma_a,1,1.0009983322356244,1.0009983322356244,5006.6876455028205,model_3,MN
sigma_m,1,1.000065334114801,1.000065334114801,4722.831734639322,model_3,MN
sigma_t,1,0.9996198514816828,0.9996198514816828,5470.266761405911,model_3,MN
theta,1,1.0046395599688729,0.9993691877402894,5544.977969609364,model_3,MN
alpha,1,0.9996201837691812,0.9996201837691812,10748.162444739954,model_1,MO
sigma_a,1,0.9998476778404888,0.9998476778404888,7811.405065530723,model_1,MO
sigma_m,1,1.0011016711101497,1.0011016711101497,4349.03342941651,model_1,MO
sigma_t,1,1.000624226310478,1.000624226310478,3718.452117293364,model_1,MO
theta,1,1.0041822200616175,0.9993729033641072,4124.70057852126,model_1,MO
alpha_intercept,1,0.99975824928863,0.99975824928863,6115.1041748948555,model_2,MO
alpha_trend,1,0.9998385571007736,0.9998385571007736,5911.230650987581,model_2,MO
sigma_ai,1,1.000030159159163,1.000030159159163,6777.0948613154715,model_2,MO
sigma_at,1,1.0000269058243496,1.0000269058243496,6263.5388705401365,model_2,MO
sigma_m,1,1.0003728324316985,1.0003728324316985,4675.712580728981,model_2,MO
sigma_t,1,0.999860812208482,0.999860812208482,4310.683717481285,model_2,MO
theta,1,1.0030928708245392,0.999364027130776,5101.604447684465,model_2,MO
alpha,1,1.0002743107367065,0.9994501073393284,11317.476541988422,model_3,MO
sigma_a,1,0.999996446940349,0.999996446940349,7160.925854408229,model_3,MO
sigma_m,1,1.0006687881701686,1.0006687881701686,4173.472059965986,model_3,MO
sigma_t,1,1.000347714159047,1.000347714159047,3429.453239243533,model_3,MO
theta,1,1.0039333103212098,0.9993594992028916,4951.972983256672,model_3,MO
alpha,1,1.0000508145872256,1.0000508145872256,8341.598145057953,model_1,MS
sigma_a,1,1.0000042297955956,1.0000042297955956,5954.147614636977,model_1,MS
sigma_m,1,0.9999744370633504,0.9999744370633504,4480.345412303108,model_1,MS
sigma_t,1,1.000233423382242,1.000233423382242,5210.799147499691,model_1,MS
theta,1,1.0026597217011408,0.999353681217134,5343.575761361134,model_1,MS
alpha_intercept,1,0.9997491311566862,0.9997491311566862,4849.073047650553,model_2,MS
alpha_trend,1,0.999844845271156,0.999844845271156,5135.065309177107,model_2,MS
sigma_ai,1,0.9997225016288044,0.9997225016288044,6621.0410567893005,model_2,MS
sigma_at,1,1.0000310070361078,1.0000310070361078,5851.800137341018,model_2,MS
sigma_m,1,0.999771612606117,0.999771612606117,4309.779278446946,model_2,MS
sigma_t,1,1.0010027640795385,1.0010027640795385,3413.1902501068303,model_2,MS
theta,1,1.005987149415088,0.9993890440891848,3629.098451879418,model_2,MS
alpha,1,1.0004453741397188,0.9995590397735858,7985.923327062181,model_3,MS
sigma_a,1,0.9995743228687436,0.9995743228687436,5546.086081563031,model_3,MS
sigma_m,1,1.000196987522025,1.000196987522025,4607.802397648567,model_3,MS
sigma_t,1,1.0003197732775553,1.0003197732775553,4682.350733223841,model_3,MS
theta,1,1.003608439502829,0.9993488229755036,5551.5140904736645,model_3,MS
alpha,1,1.0001460843636432,1.0001460843636432,6285.345863736848,model_1,MT
sigma_a,1,1.0000912139690952,1.0000912139690952,5457.918342794022,model_1,MT
sigma_m,1,1.0000485514054134,1.0000485514054134,5067.729427234175,model_1,MT
sigma_t,1,1.0004894114469811,1.0004894114469811,4136.903248061581,model_1,MT
theta,1,1.0135087922120627,1.0000054946181722,928.9969581433642,model_1,MT
alpha_intercept,1,1.0007320850888852,1.0007320850888852,2575.1493123211744,model_2,MT
alpha_trend,1,1.0005523532983174,1.0005523532983174,2561.294283861817,model_2,MT
sigma_ai,1,1.0006133413720586,1.0006133413720586,6124.00821721182,model_2,MT
sigma_at,1,0.9995214588867872,0.9995214588867872,6465.925937820423,model_2,MT
sigma_m,1,0.99968206232026,0.99968206232026,5203.0286315161375,model_2,MT
sigma_t,1,1.0008325965696667,1.0008325965696667,3826.981102650752,model_2,MT
theta,1,1.0124770129030645,0.9996775153095752,937.7547776434257,model_2,MT
alpha,1,1.0005474074859586,0.9993788079532672,6331.194988723507,model_3,MT
sigma_a,1,0.999873577355867,0.999873577355867,3889.263198289462,model_3,MT
sigma_m,1,0.9996561748957546,0.9996561748957546,5463.011665416307,model_3,MT
sigma_t,1,1.0002561249635795,1.0002561249635795,4136.087436231186,model_3,MT
theta,1,1.0127877179471565,0.9995395575490128,1002.554029537288,model_3,MT
alpha,1,0.999750116163274,0.999750116163274,12693.844920544034,model_1,NC
sigma_a,1,0.999500178782108,0.999500178782108,8651.027407864725,model_1,NC
sigma_m,1,0.9999895459652378,0.9999895459652378,4417.762018802471,model_1,NC
sigma_t,1,1.0000206595216825,1.0000206595216825,4988.9640437876515,model_1,NC
theta,1,1.0036460554799889,0.9993634283771282,4031.409131630648,model_1,NC
alpha_intercept,1,0.9996874241100002,0.9996874241100002,8057.636779890056,model_2,NC
alpha_trend,1,0.9996621268622174,0.9996621268622174,7694.988981074762,model_2,NC
sigma_ai,1,0.9993993995591188,0.9993993995591188,8990.401000644035,model_2,NC
sigma_at,1,1.0002393911403056,1.0002393911403056,6570.186555305462,model_2,NC
sigma_m,1,0.9996863292906508,0.9996863292906508,4752.739084584142,model_2,NC
sigma_t,1,0.9999975362610944,0.9999975362610944,5931.0780385708495,model_2,NC
theta,1,1.0036284090591832,0.9993737912430012,3974.248453609929,model_2,NC
alpha,1,1.0000919124605974,0.9993693086440404,12465.81549474823,model_3,NC
sigma_a,1,0.9996817793284803,0.9996817793284803,7903.786605124743,model_3,NC
sigma_m,1,1.0004800404712852,1.0004800404712852,4875.865049808644,model_3,NC
sigma_t,1,1.0004251750013478,1.0004251750013478,5699.9938820034995,model_3,NC
theta,1,1.0036379541203289,0.9993652696654444,4334.445404254947,model_3,NC
alpha,1,0.9997231697236436,0.9997231697236436,8022.098524741991,model_1,ND
sigma_a,1,0.999755151456498,0.999755151456498,6846.698331272041,model_1,ND
sigma_m,1,0.9997919573791282,0.9997919573791282,6650.140950001273,model_1,ND
sigma_t,1,1.0005039537508211,1.0005039537508211,3898.363695429976,model_1,ND
theta,1,1.0089619325737271,0.9993841283318002,1561.5613314410498,model_1,ND
alpha_intercept,1,1.0000449994316811,1.0000449994316811,3009.3665038431473,model_2,ND
alpha_trend,1,0.9999733960161848,0.9999733960161848,2996.3776347870885,model_2,ND
sigma_ai,1,0.999830321279129,0.999830321279129,6695.2668883192155,model_2,ND
sigma_at,1,1.0004273319939794,1.0004273319939794,5886.570692027735,model_2,ND
sigma_m,1,0.9995462227947494,0.9995462227947494,5062.478381659082,model_2,ND
sigma_t,1,1.000364300792587,1.000364300792587,3522.8853784719367,model_2,ND
theta,1,1.0122970926596373,0.999594555413698,1386.868315264288,model_2,ND
alpha,1,1.0005986762621597,0.9995963746703668,6832.411135528076,model_3,ND
sigma_a,1,1.001686871401124,1.001686871401124,3643.144240084856,model_3,ND
sigma_m,1,0.9997257976449544,0.9997257976449544,5662.42897747735,model_3,ND
sigma_t,1,0.9999361089047032,0.9999361089047032,3967.929516904064,model_3,ND
theta,1,1.0104709485382144,0.9995322180081156,1604.9419007347587,model_3,ND
alpha,1,0.9998975588178272,0.9998975588178272,6338.693113880968,model_1,NE
sigma_a,1,0.9997287029598816,0.9997287029598816,5449.235296773998,model_1,NE
sigma_m,1,0.9998197142481864,0.9998197142481864,4961.902577678673,model_1,NE
sigma_t,1,0.9999170953558474,0.9999170953558474,4102.341710236517,model_1,NE
